scheme_name,detected_themes
DPIIT Internship Scheme,['Education & Learning']
Dairy Farming Scheme (HSFDC),['Skills & Employment']
Dalit Bandhu,['Education & Learning']
Dayanand Bandodkar Scheme For Higher Education For Orphans,['Education & Learning']
Deen Dayal Disabled Rehabilitation Scheme,['Education & Learning']
Deen Dayal Divyangjan Pension Scheme - Assam,['Education & Learning']
Deen Dayal SPARSH Yojana (Scholarship For Promotion Of Aptitude & Research In Stamps As A Hobby),['Education & Learning']
Deen Dayal Upadhyay Grameen Kaushalya Yojana,['Skills & Employment']
Deen Dayal Upadhyay Kaushal Kendra (DDUKK)- Mega Skill Centre,['Skills & Employment']
Deen Dayal Upadhyaya Bunkar Yojana,['Education & Learning']
Deendayal Antyodaya Yojana - National Rural Livelihoods Mission,['Skills & Employment']
Delhi Ladli Scheme,['Education & Learning']
Design Scheme Under MSME Innovative Scheme,['Business & Entrepreneurship']
Development Of Playfield Under CMSGUY,['Education & Learning']
Development of Choir Industries,['Skills & Employment']
Development of Industrie-Training Scheme,['Skills & Employment']
Devnarayan Chhatra Cycle Scheme,['Education & Learning']
Devnarayan Gurukul Yojana,['Education & Learning']
Devnarayan Post Matric Scholarship Scheme,['Education & Learning']
Devnarayan Pratibhawan Chhatra Protsahan Yojana,['Education & Learning']
Devnarayan Pre-Matric Scholarship Scheme,['Education & Learning']
Devnarayan Scooty Distribution And Incentive Scheme,['Education & Learning']
Digital India Internship Scheme,['Education & Learning']
Digital J&K Internship Scheme,['Education & Learning']
Disable Marriage Scheme (Divyang Lagna Sahay),['Education & Learning']
Disabled State Level Award Scheme,['Skills & Employment']
Disha - Early Intervention and School Readiness Scheme,['Education & Learning']
Distance Education Scheme for Girls,['Education & Learning']
"Distance Education Scholarship–Scholarship For Disabled Students Pursuing Degree, PG Courses",['Education & Learning']
Distribution of Free Books and Stationery to SC/ST Students,['Education & Learning']
District Central Cooperative Banks and through its Branches: For Women Entrepreneurs,['Business & Entrepreneurship']
Divyang Shiksha Protsahan Yojana,['Education & Learning']
Divyangjan Scholarship Scheme,['Education & Learning']
Dr Ambedkar Central Sector Scheme of Interest Subsidy on Educational Loans for Overseas Studies for Other Backward Classes (OBCs) and Economically Backward Classes (EBCs),['Education & Learning']
Dr. A.P.J. Abdul Kalam Meritorious Students Incentive Scheme (Class 12th Passed),['Education & Learning']
Dr. APJ Abdul Kalam Shramik Pravidhik Shiksha Sahaayata Yojana,['Education & Learning']
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,['Education & Learning']
Dr. Ambedkar Foundation Essay Competition Scheme for Class 10th-12th & Colleges/Universities/Institutions Students in 22 Indian Languages and English,['Education & Learning']
Dr. Ambedkar Medhavi Chattar Sansodhit Yojna,['Education & Learning']
Dr. Ambedkar Medhavi Chhatravriti Yojna to Other Backward Classes Students,['Education & Learning']
Dr. Ambedkar Medhavi Chhatravriti Yojna to Scheduled Caste Students,['Education & Learning']
Dr. Ambedkar Medical Aid Scheme (Revised – 2009),['Education & Learning']
Dr. B. R. Ambedkar State Award To SC/ST/OBC/Minorities Students,['Education & Learning']
Dr. B.R. Ambedkar Memorial Award to Scheduled Caste Students,['Education & Learning']
Dr. Baba Saheb Ambedkar Loan for Higher Study in Foreign Countries,['Education & Learning']
Dr. Bhim Rao Ambedkar Meritorious Student Award Scheme,['Education & Learning']
Dr. Bhimrao Ambedkar Aarthik Kalyan Yojana,['Skills & Employment']
Dr. D.S. Kothari Post Doctoral Fellowships In Sciences,['Education & Learning']
Dr. D.S. Kothari Research Grant For Newly Recruited Faculty Members,['Education & Learning']
Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme-II,['Education & Learning']
Dr. Muthulakshmi Reddy Ninaivu Inter-caste Marriage Assistance Scheme-II,['Education & Learning']
Dr. P. G. Solanki Scheme for Stipend to Scheduled Caste Lawyers,['Skills & Employment']
Dr. Panjabrao Deshmukh Hostel Maintenance Allowance,['Education & Learning']
Dr. S. Radhakrishnan UGC Post-Doctoral Fellowship,['Education & Learning']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Interest Subsidy (Manufacturing Sector),['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Interest Subsidy (Service Sector),['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Power Connection Charges,['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Quality Certification,['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Raising Capital through SME Exchange,['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Technology Acquisition,['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance in Implementation of Information and Communication Technology (ICT),['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance in Rent to MSEs,['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance of Capital Investment Subsidy,['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to GIDC for Developing Multi-Storied Shed in Estates,['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to MSEs for Shed Developed by Private Developer,['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to MSME Manufacturing Sector Participation in the Exhibition (National and International),['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to Micro and Small Enterprises (MSE) of SC/ST for Plot Developed by GIDC,['Business & Entrepreneurship']
"Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to basic industrial infrastructure (Water, Gas and Approach Road)",['Business & Entrepreneurship']
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Financial Support to MSMEs in ZED Certification,['Business & Entrepreneurship']
Dulari Scheme,['Education & Learning']
E-Medhabruti,['Education & Learning']
E-YUVA Scheme: BIRAC’s E-YUVA Fellows (for under graduate students),['Education & Learning']
E-YUVA Scheme: BIRAC’s Innovation Fellows (for post graduates and above),['Education & Learning']
E-YUVA Scheme: E-YUVA Centers,['Business & Entrepreneurship']
E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughter’s of Poor Widows: Scheme-II,['Education & Learning']
Early Intervention Centre for the Visually Impaired,['Education & Learning']
Economic Help To Sahariya Tribal Girl Students (Class 11 And 12),['Education & Learning']
Economic Help To Tribal Girls For Higher Education (Class 11 & 12),['Education & Learning']
Economic Help To Tribal Girls For Higher Education (College Level),['Education & Learning']
Education Assistance - Folk Artist,['Education & Learning']
Education Assistance for the Construction Workers,['Education & Learning']
Education Assistance/Ph.D Scheme (GBOCWWB),['Education & Learning']
Education Development Scholarship for Single Girl Child,['Education & Learning']
Education Loan Scheme,['Education & Learning']
Education Loan Scheme (NSFDC),['Education & Learning']
Education Loan Scheme - Delhi,['Education & Learning']
Education Loan Scheme under NSFDC- Haryana,['Education & Learning']
Education Loan Scheme under NSKFDC- Haryana,['Education & Learning']
Education Loan Scheme- Credit Line 1 for Minority Community,['Education & Learning']
Education Loan Scheme- Credit Line 2 for Minority Community,['Education & Learning']
Education Loan for Persons with Disabilities- Haryana,['Education & Learning']
Educational Allowances to the Children of Widows,['Education & Learning']
Educational Assistance (A.B.O.C.W.W.B),['Education & Learning']
Educational Assistance (ANBOCWWB),['Education & Learning']
Educational Assistance (Scheme for the Pre-Matric and Post-Matric Scholarship to Children of Construction Workers Registered with the MBOCWWB),['Education & Learning']
Educational Assistance For Children Of Victims Of Crime,['Education & Learning']
Educational Assistance To Children Of Prisoners,['Education & Learning']
Educational Assistance To Children Of Prisoners (Pursuing Professional Course),['Education & Learning']
Educational Assistance for Degree Course,['Education & Learning']
Educational Assistance for Government Recognised Diploma Courses,['Education & Learning']
Educational Assistance for Medical and Engineering Courses,['Education & Learning']
Educational Assistance to Children of Women Headed Families,['Education & Learning']
Educational Assistance to the 10th to 12th Students,['Education & Learning']
Educational Assistance to the Children Studying in 1st to 7th and 8th to 10th Class,['Education & Learning']
Educational Assistance to the Children of the Registered Worker Studying in 11th and 12th Standard,['Education & Learning']
Educational Award Scheme - Gujarat Labour Welfare Board,['Education & Learning']
Educational Study Scheme,['Education & Learning']
Eklavya Prashikshan Yojana,['Education & Learning']
"Eklavya Prashikshan Yojana - Coaching To Scheduled Tribe Student Studying In Class Xth, XIth & XIIth",['Education & Learning']
Emeritus Fellowship,['Education & Learning']
Employability Excellence with College Education & Learning (EXCEL),['Education & Learning']
Empower ST/SC Communities using ICT Tools through IT Knowledge Centre (ITKC),['Education & Learning']
Encouragement Scheme for Taking Admission in Science and Contemporary Subjects,['Education & Learning']
Endeavour To Empower-Skill Development,['Skills & Employment']
Entrepreneur Support Scheme,['Business & Entrepreneurship']
Entrepreneurship Development by SC & ST Women in Science Technology Engineering Mathematics,['Education & Learning']
Entrepreneurship and Skill Development Programme,['Business & Entrepreneurship']
Establishing Aavin Parlour for Differently Abled Persons,['Skills & Employment']
Establishment of 50 Milch Animals Dairy Unit,['Skills & Employment']
Establishment of Integrated Educational Complexes,['Education & Learning']
Excellent Work Award Scheme for Social Worker of De-Notified Communities,['Education & Learning']
Export Promotion Council Membership Reimbursement Scheme for Scheduled Caste/Scheduled Tribe,['Business & Entrepreneurship']
Exposure Visits To The Assam Legislative Assembly,['Education & Learning']
Exposure Visits of Government of Odisha Delegates/Representatives to Singapore and Dubai,['Education & Learning']
Farm Machinery Bank (FMB)/Farm Machinery Hub (FMH),['Skills & Employment']
Farmer Suicide Ex-Gratia,['Education & Learning']
Fee Reimbursement Scheme,['Education & Learning']
Fee Waiver Scheme For SC/ST Students Pursuing Higher Education,['Education & Learning']
Fellowship For Superannuated Faculty Members,['Education & Learning']
Fellowship Scheme for M.Phil & Ph.D for Scheduled Caste Students (Maharaja Sayajirao Gayakvad Scholarship),['Education & Learning']
Financial Aid For Providing Hostel Facility To Transgender Students,['Education & Learning']
Financial Assistance For Aids And Appliances For Disabled Persons,['Education & Learning']
Financial Assistance For Cultural Activities In Performing Arts For Building Grants Including Studio Theatres,['Education & Learning']
Financial Assistance For Development Of Buddhist/Tibetan Arts And Culture,['Education & Learning']
Financial Assistance For Education Of Children Of Registered Worker (HBOCWWB),['Education & Learning']
Financial Assistance For Persons With Special Needs,['Education & Learning']
Financial Assistance For Promotion Of Guru-Shishya Parampara (Repertory Grant),['Education & Learning']
Financial Assistance For Purchase Of Stationery To SC/ST/OBC/Minorities Students,['Education & Learning']
Financial Assistance On Marriage Of Children (HBOCWWB),['Education & Learning']
Financial Assistance Scheme For Higher Competitive/ Entrance Examination To Scheduled Castes/ Backward Classes Students,['Education & Learning']
Financial Assistance To Cultural Organizations With National Presence,['Education & Learning']
Financial Assistance To Dependent Children Of Widows And Destitute Women,['Education & Learning']
Financial Assistance To Disabled For Self Employment,['Skills & Employment']
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)",['Education & Learning']
Financial Assistance To Ex-Convicts,['Skills & Employment']
Financial Assistance To Institutions/Societies Belonging To Scheduled Castes/Backward Classes,['Education & Learning']
Financial Assistance To Non-School Going Disabled Children Scheme,['Education & Learning']
Financial Assistance To Pre-primary School In Remote Areas,['Education & Learning']
Financial Assistance To Self-Employment For Trained Disabled Persons,['Skills & Employment']
Financial Assistance To The Child Victims Of Violence Under TheNational Foundation For Communal Harmony,['Education & Learning']
Financial Assistance for Coaching Classes (HBOCWWB),['Education & Learning']
Financial Assistance for Coaching- Haryana Labour Welfare Board,['Education & Learning']
Financial Assistance for Education (GBOCWWB),['Education & Learning']
Financial Assistance for Education for the Construction Workers,['Education & Learning']
Financial Assistance for Education of Children of Beneficiary,['Education & Learning']
Financial Assistance for Education of Children of Registered Construction Worker,['Education & Learning']
Financial Assistance for Education of Self/ Children of Beneficiaries,['Education & Learning']
Financial Assistance for Education- Haryana Silicosis Board,['Education & Learning']
Financial Assistance for Encouraging Worker's Children's Participation in Sports Activities- Haryana Labour Welfare Board,['Sports']
Financial Assistance for Hostel Facility in Professional/Technical Institutions (HBOCWWB),['Education & Learning']
Financial Assistance for Private Self-Financed Technical Institutions,['Education & Learning']
Financial Assistance for Professional/Technical Courses (HBOCWWB),['Education & Learning']
"Financial Assistance for Purchasing School Uniforms, Books and Notebooks from Class 1st to 12th for Children of Workers- Haryana Labour Welfare Board",['Education & Learning']
Financial Assistance for Studies (BBOCWWB),['Education & Learning']
Financial Assistance for the Education of Children of the Beneficiary (O.B.O.C.W.W.B),['Education & Learning']
Financial Assistance to Former Sports Person of UP,['Sports']
Financial Assistance to Newlyweds under Kanyadan Yojana (Vijabhaj),['Education & Learning']
Financial Assistance to Non Governmental Organisations,['Education & Learning']
"Financial Assistance to SC Students Studying in Medical, Engineering and Diploma Course for Purchasing Educational Instrument",['Education & Learning']
Financial Assistance to SC Students for Pursuing Higher Studies Abroad,['Education & Learning']
"Financial Assistance to ST Students under ""Gagan Bharari Shiksha Yojana""",['Education & Learning']
"Financial Assistance to Sportspersons to Pursue Sports Coaching Courses Conducted by SAI, NSNIS, Patiala as a Part of Skill Development Programme to Improve their Employability",['Education & Learning']
Financial Assistance to Take up Value Addition to Seafood,['Business & Entrepreneurship']
Financial Assistance to the Teachers/Lecturers Children who taken loan from Nationalised Banks for studying Medical/Engineering Courses,['Education & Learning']
Financial Assistive Devices for Persons with Disabilities,['Skills & Employment']
Financial Grant for Sports Associations,['Sports']
Financial Support Scheme,['Education & Learning']
Financial Support To The Students Of N.E.R For Higher Professional Courses (NEC Merit Scholarship),['Education & Learning']
Financial assistance to Meritorious Scheduled Tribe Students who have Passed First Division from Board and University,['Education & Learning']
Fitter Training to Hearing Impaired Persons,['Skills & Employment']
Food Bill Assistance,['Education & Learning']
Food Bill Assistance to SC Students,['Education & Learning']
Food Safety & Standards Authority Of India (FSSAI) Internship Scheme,['Education & Learning']
Foreign Education Scheme,['Education & Learning']
Forest And Climate Change Internship Scheme,['Education & Learning']
Foster Care Scheme (Vatsalaya),['Education & Learning']
Free Bicycle Distribution Scheme,['Education & Learning']
"Free Bicycle Distribution to Students of Vimukt, Ghumantu and Ardhghumantu Communities",['Education & Learning']
Free Books Scheme for Scheduled Caste Students Pursuing Higher Education,['Education & Learning']
"Free Caste Hostel (De-Notified, Nomadic and Semi-Nomadic Communities)",['Education & Learning']
Free Coaching Scheme for SC and OBC Students,['Education & Learning']
Free Coaching for Students with Disabilities,['Education & Learning']
Free Cycles to SC Girl Students Studying in Standard IX (Sarasvati Sadhna Yojana),['Education & Learning']
Free Distribution of Text Books to Students,['Education & Learning']
Free Education For Sports Medal Winners / Participants Of National/ International Events,['Education & Learning']
Free Education Scheme,['Education & Learning']
"Free Education Scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary, and Law)",['Education & Learning']
Free Education Scholarship for Three-Year Diploma (Polytechnic Courses),['Education & Learning']
Free Employment Oriented Training to Educated Unemployed Youth of Backward Class and Minority Class,['Education & Learning']
Free Passport Scheme,['Education & Learning']
Free Scooty Distribution for Girls (GEN-CATEGAORY-EWS),['Education & Learning']
Free Studentship,['Education & Learning']
Free Supply of Note Books to the Children of Poor Widows,['Education & Learning']
Free Supply of Text Books,['Education & Learning']
FutureSkills Prime Incentive Program,['Education & Learning']
GITANJALI HOUSING SCHEME,['Education & Learning']
Gagan Bharari Shiksha Yojana for OBC (Dhangar) Students,['Education & Learning']
Gagan Bharari Shiksha Yojana for SC Students,['Education & Learning']
Ganesh Shankar Vidyaarthi Shramik Puraskar Rashi Yojana,['Education & Learning']
Gaon Ki Beti,['Education & Learning']
Gargi Puruskar Yojana,['Education & Learning']
Gatidhara Scheme,['Skills & Employment']
Gau Palan Yojana,['Skills & Employment']
Gausevak Training (Initial and Refresher),['Skills & Employment']
Gayathri Scheme for Academic Excellence,['Education & Learning']
General Poor Class Scholarship (Class 6 to 8),['Education & Learning']
General Pre Matric Scholarship-Uttar Pradesh,['Education & Learning']
Generator Subsidy,['Business & Entrepreneurship']
Girl Students Health & Hygiene Scheme,['Education & Learning']
Girls Literacy Promotion Scheme for Class 11th,['Education & Learning']
"Goa (Technical/ Vocational Training To Sex Workers And Sexually Abused Women) Scheme, 2013 (PRABHAT)",['Education & Learning']
Goa Mediclaim Scheme,['Education & Learning']
Goa State Best Library and Best Librarian Award,['Education & Learning']
Goa State Cultural Award for Institution,['Education & Learning']
"Goa State Employment Subsidy Scheme for the Industries, 2008",['Business & Entrepreneurship']
"Goa State Financial Incentives to the Industries for Certification and Patenting Scheme, 2008",['Education & Learning']
Gomant Vibhushan Award,['Education & Learning']
Gopabandhu Sikhya Sahayata Yojana,['Education & Learning']
Government Hostel for Working Women/ Girl Students,['Education & Learning']
Government Institute for the Mentally Retarded - Tamil Nadu,['Education & Learning']
Government Institutions for Teaching and Training of Persons with Disabilities,['Education & Learning']
Government Service Home - Tamil Nadu,['Education & Learning']
Government Special School for the Visually Handicapped and the Hearing Impaired,['Education & Learning']
Government of Goa State Scholarship to NDA Cadets,['Education & Learning']
Grama Jyothi,['Education & Learning']
Grant For Organizing Conference,['Education & Learning']
Grant Of Retention Scholarship to Scheduled Caste Girl Students,['Education & Learning']
Grant for Incubation Centers within Educational Institutes Scheme,['Education & Learning']
"Grant of Annual Scholarship to the Students Belonging to UT of Puducherry Selected and Studying in the Sainik School, Amaravathi Nagar, Tamil Nadu",['Education & Learning']
Grant of Financial Assistance for Purchase of Textbooks/Notebooks to School-Going Children of Industrial Workers/Employees (GLWB),['Education & Learning']
Grant of Financial Assistance to the Poor Parents Having Only One Girl Child Who is Studying 8th to 10th Standard,['Education & Learning']
Grant of Financial Assistance to the School Going Children of Industrial Workers/Employees Studying in 1st to 4th Standard for Supply of One Set of Uniform,['Education & Learning']
Grant of Quality Certification Reimbursement of Charges,['Business & Entrepreneurship']
Grant of Stipend to Differently Abled Trainees,['Skills & Employment']
Grant of Stipend to the Differently Abled Trainees of the Vocational Training Institutes,['Skills & Employment']
Grant of Stipends to the Physically Handicapped Students,['Education & Learning']
Grant of Transport Allowance to Differently Abled Persons,['Education & Learning']
Grant on Passing the Written Examination of Competitive Examinations for Recruitment in Armed Forces,['Education & Learning']
Grant to Jharkhand State Unaided Educational Institutions,['Education & Learning']
Grant to Meritorious Wards of ESM in Sports: National / International Level (Sainik Welfare),['Education & Learning']
Grant to Meritorious Wards of Ex-Servicemen in Academics (Lump Sum Grant),['Education & Learning']
Grant-In-Aid to Voluntary Organizations Working In The Area of ​​Disabled Welfare,['Education & Learning']
Grant-in-Aid Scheme To Provide Financial Assistance To The Mahila Mandals/ Women’s Self-help Groups (SWAWLAMBHAN),['Skills & Employment']
Grant-in-Aid Scheme to Provide Financial Assistance to the Mahila Mandals,['Skills & Employment']
"Grant-in-Aid to Non-governmental Organisations Running Residential Homes for the Children, Aged, and Vulnerable Persons Under Social Defence",['Education & Learning']
Grant-in-aid Scheme to Village Education Committees/Urban Education Committees for minor repairs of Government School buildings,['Education & Learning']
Green Passage Scheme,['Education & Learning']
Group Insurance Scheme for Powerloom Weavers,['Education & Learning']
Gujarat Textile Policy: Capital Subsidy,['Business & Entrepreneurship']
Gujarat Textile Policy: Capital Subsidy (Fiscal Incentives to Labour Intensive Unit),['Business & Entrepreneurship']
Gujarat Textile Policy: Interest Subsidy,['Business & Entrepreneurship']
Gujarat Textile Policy: Interest Subsidy (Fiscal Incentives to Labour Intensive Unit),['Business & Entrepreneurship']
Gujarat Textile Policy: Payroll Assistance,['Business & Entrepreneurship']
Gujarat Textile Policy: Payroll Assistance (Fiscal Incentives to Labour Intensive Unit),['Business & Entrepreneurship']
Gujarat Textile Policy: Power Tariff Subsidy,['Business & Entrepreneurship']
Gujarat Textile Policy: Power Tariff Subsidy (Fiscal Incentives to Labour Intensive Unit),['Business & Entrepreneurship']
Guru Shishya Parampara,['Education & Learning']
Guruji Student Credit Card (GSCC) Scheme,['Education & Learning']
H.P. Swaran Jayanti Middle Merit Scholarship Scheme,['Education & Learning']
HIMAYAT- Deen Dayal Upadhyaya-Grameen Kaushalya Yojana,['Skills & Employment']
HSCST Fellowship Programme,['Education & Learning']
Handicapped Students Stipend Mizoram,['Education & Learning']
Haritha Haram,['Education & Learning']
Haryana Gaurav Samman Scheme for Padma Awardees,['Education & Learning']
Haryana Merit Cum Means Scheme For Minority,['Education & Learning']
Haryana Post Matric Scholarship For Minority,['Education & Learning']
Haryana Pre Matric Scholarship For Minority,['Education & Learning']
Haryana State Merit Scholarship Scheme,['Education & Learning']
Haryana State Meritorious Incentive Scheme,['Education & Learning']
Haryana State Meritorious Incentive Scheme for the Students Who Attain First Position in CBSE Annual Exams in the State,['Education & Learning']
Health and Maternity Cover for the Construction Workers,['Education & Learning']
High Risk - High Reward Research,['Education & Learning']
Higher Education And Skill Development Guarantee Scheme,['Education & Learning']
Higher Educational Finance Assistance Scheme (PBAOCWWB),['Education & Learning']
Him Kukkut Palan Yojna,['Skills & Employment']
Home Nursing Scholarship Scheme,['Education & Learning']
Home for Mentally Challenged Children,['Education & Learning']
Honorarium for Pradhan Samajpatis of Indigenous Tribal Community,['Education & Learning']
Hostel Assistance Scheme for Children of Migrant Construction Workers (GBOCWWB),['Education & Learning']
Hostel Facility for Students Availing Education in Delhi,['Education & Learning']
Hostel Scheme for Disabled Students,['Education & Learning']
Housing Assistance (Madhya Pradesh),['Education & Learning']
IASRI Scholarship For M.Sc And Ph.D,['Education & Learning']
ICAR - Post Matric Scholarship For Scheduled Caste / Scheduled Tribes Candidates,['Education & Learning']
ICAR Emeritus Professor,['Education & Learning']
ICAR Emeritus Scientist,['Education & Learning']
ICAR Junior Research Fellowship For Post-Graduate Studies In Agricultural Sciences,['Education & Learning']
ICAR National Professor And National Fellow,['Education & Learning']
ICAR Senior Research Fellowship For Post-Graduate Studies In Agricultural Sciences,['Education & Learning']
ICMR- Post Doctoral Fellowship,['Education & Learning']
ICMR-Junior Research Fellowship,['Education & Learning']
ICRO Amrit Internship Programme,['Skills & Employment']
IGSTC Industrial Fellowship- PhD Industrial Exposure Fellowship,['Education & Learning']
IGSTC Industrial Fellowship- Post Doctoral Industrial Fellowship,['Education & Learning']
INSPIRE Awards – MANAK (Million Minds Augmenting National Aspirations and Knowledge),['Education & Learning']
IT Saksham Yuva Scheme,['Skills & Employment']
IVRI Institute Scholarship For M.V.Sc. And Ph.D.,['Education & Learning']
Incentive Scheme for MSMEs in Powerloom Sector: Interest Subsidy on Term Loan,['Business & Entrepreneurship']
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Energy Efficiency,['Business & Entrepreneurship']
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Patent Registration,['Business & Entrepreneurship']
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Standard Quality Compliance,['Business & Entrepreneurship']
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for State Goods and Services Tax (SGST),['Business & Entrepreneurship']
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Water Conservation/ Environment Compliance,['Business & Entrepreneurship']
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy on Stamp Duty and Registration Fees,['Business & Entrepreneurship']
Incentive Scheme for MSMEs in Powerloom Sector: Waiver of Electricity Duty,['Business & Entrepreneurship']
Incentive Scheme for MSMEs in Powerloom Sector: Work Force Welfare Assistance,['Business & Entrepreneurship']
Incentive Scheme for Sericulture Reelers,['Education & Learning']
Incentive Scheme in Civil Service (Chhattisgarh),['Education & Learning']
Incentive To Girls,['Education & Learning']
Incentive To Saharia Students For B.Ed,['Education & Learning']
Incentive for Purchase of Electric Scooter for the Daughter of a Registered Construction Worker (HBOCWWB),['Education & Learning']
Incentives for Meritorious Children (Students) of Workers (10th and 12th Class) (HBOCWWB),['Education & Learning']
"Incentives to Encourage Consumption of Local Raw Material Scheme, 2008",['Business & Entrepreneurship']
Incentives to Students who Passed the Civil Service Examination,['Education & Learning']
"Incentives to Women Entrepreneurs Scheme, 2008",['Business & Entrepreneurship']
Incubation Scheme,['Business & Entrepreneurship']
Indian Agricultural Research Institute - Scholarship,['Education & Learning']
Indian Community Welfare Fund,['Education & Learning']
Indira Gandhi Shehri Credit Card Yojana,['Skills & Employment']
Indira Gandhi Utkrisht Chattervriti Yojana,['Education & Learning']
Indira Mahila Shakti Prashikshan Evam Kaushal Sanvardhan Yojna -RS-CIT,['Education & Learning']
Indira Mahila Shakti Prashikshan Evam Koshal Sanvardhan Yojana (RS-CSEP),['Education & Learning']
Indira Priyadarshini Award,['Education & Learning']
Indirect Tax Internship Scheme In Central Board Of Indirect Taxes And Customs (CBIC),['Skills & Employment']
Indo-French Postdoctoral Research Programme for Women in Science,['Education & Learning']
Indo-French Visiting/Mobility Programme for Women in Science,['Education & Learning']
Industrial R&D Promotion Programme: Recognition Of In-House R&D Units,['Education & Learning']
Industrial Sector Scheme (HSFDC),['Skills & Employment']
Industrial Skill Development Allowance To The New Employees Employed In Industries In H.p,['Skills & Employment']
Industry Linked Biotechnology Research Scheme,['Education & Learning']
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Faculty Fellowship,['Education & Learning']
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Fellowship,['Education & Learning']
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Internship,['Education & Learning']
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Scholarship For Higher Education (SHE),['Education & Learning']
Innovations for Defence Excellence,['Business & Entrepreneurship']
Institutions of Eminence scheme,['Education & Learning']
Insurance Scheme for the Construction Workers,['Education & Learning']
Integrated Child Development Services Scheme,['Education & Learning']
Integrated Child Development Services: Chandigarh,['Education & Learning']
Integrated Horticulture Development,['Skills & Employment']
Integrated Hostel Scheme,['Education & Learning']
Integrated Pest Management Demonstration Cum Training,['Education & Learning']
Integrated Scholarship Scheme,['Education & Learning']
Intellectual Property Right Scheme Under MSME Innovative Scheme,['Business & Entrepreneurship']
Inter-caste Marriage Scheme,['Education & Learning']
Inter-state Border Areas Development Programme,['Education & Learning']
Interest Help Scheme For Graduate Doctor-Lawyer-Technical Graduate,['Education & Learning']
Interest Subsidy Eligibility Certificate (isec) Scheme,['Education & Learning']
"Interest Subsidy Scheme, 2008",['Business & Entrepreneurship']
Interest Subvention Scheme,['Business & Entrepreneurship']
International Centre for Environment Audit and Sustainable Development (iCED),['Education & Learning']
International Cooperation Scheme- Capacity Building of First Time MSE Exporters,['Business & Entrepreneurship']
International Cooperation Scheme- Market Development Assistance,['Business & Entrepreneurship']
Internship Policy Of Indian Council For Cultural Relations (ICCR),['Education & Learning']
Internship Policy Of The Madhya Pradesh Tourism Board,['Skills & Employment']
Internship Program At The Indian Patent Office,['Education & Learning']
Internship Programme At Serious Fraud Investigation Office,['Education & Learning']
Internship Programme By The Ministry Of External Affairs,['Education & Learning']
Internship Programme Of The Department Of Expenditure,['Education & Learning']
Internship Programme Of The Wildlife Crime Control Bureau (MoEFCC),['Skills & Employment']
Internship Programme for Women Students / Scholars / Social Activists / Teachers,['Education & Learning']
Internship Scheme,['Education & Learning']
Internship Scheme By The Unique Identification Authority Of India (UIDAI),['Education & Learning']
Internship Scheme For PG/Research Students In Directorate General Of Trade Remedies (DGTR),['Education & Learning']
Internship Scheme For Students Of Counselling/ Psychology/ Social Work/ Home Science Etc,['Skills & Employment']
Internship Scheme Of Employees’ Provident Fund Organisation (EPFO),['Education & Learning']
Internship Scheme Of The Department Of Economic Affairs,['Education & Learning']
Internship Scheme Of The Ministry Of Labour & Employment,['Education & Learning']
